citation,pmid
"Klotz KN, Lohse MJ, Schwabe U, Cristalli G, Vittori S, Grifantini M. 2-Chloro-N6-[3H]cyclopentyladenosine ([3H]CCPA)--a high affinity agonist radioligand for A1 adenosine receptors. Naunyn Schmiedebergs Arch Pharmacol. 1989 Dec;340(6):679–83.",2615857
"Matsufuji H, Ueo H, Mori M, Kuwano H, Sugimachi K. Enhancement of esophageal carcinogenesis induced in rats by N-amyl-N-methylnitrosamine in the presence of 12-O-tetradecanoylphorbol-13-acetate. J Natl Cancer Inst. 1987 Nov;79(5):1123–9.",3479638
"Martinson EA, Johnson RA, Wells JN. Potent adenosine receptor antagonists that are selective for the A1 receptor subtype. Mol Pharmacol. 1987 Mar;31(3):247–52.",3561384
"Daly JW, Jacobson KA, Ukena D. Adenosine receptors: development of selective agonists and antagonists. Prog Clin Biol Res. 1987;230:41–63.",3588607
"Williams M, Braunwalder A, Erickson TJ. Evaluation of the binding of the A-1 selective adenosine radioligand, cyclopentyladenosine (CPA), to rat brain tissue. Naunyn Schmiedebergs Arch Pharmacol. 1986 Feb;332(2):179–83.",3703020
"Zocchi C, Ongini E, Conti A, Monopoli A, Negretti A, Baraldi PG, et al. The non-xanthine heterocyclic compound SCH 58261 is a new potent and selective A2a adenosine receptor antagonist. J Pharmacol Exp Ther. 1996 Feb;276(2):398–404.",8632302
North RA. Molecular physiology of P2X receptors. Physiol Rev. 2002 Oct;82(4):1013–67.,12270951
"Tracey WR, Magee WP, Oleynek JJ, Hill RJ, Smith AH, Flynn DM, et al. Novel N6-substituted adenosine 5’-N-methyluronamides with high selectivity for human adenosine A3 receptors reduce ischemic myocardial injury. Am J Physiol Heart Circ Physiol. 2003 Dec;285(6):H2780-7.",12919933
"Zablocki JA, Wu L, Shryock J, Belardinelli L. Partial A(1) adenosine receptor agonists from a molecular perspective and their potential use as chronic ventricular rate control agents during atrial fibrillation (AF). Curr Top Med Chem. 2004;4(8):839–54.",15078215
Cerqueira MD. The future of pharmacologic stress: selective A2A adenosine receptor agonists. Am J Cardiol. 2004 Jul 22;94(2A):33D-40D; discussion 40D-42D.,15261132
"Hutchinson SA, Scammells PJ. A(1) adenosine receptor agonists: medicinal chemistry and therapeutic potential. Curr Pharm Des. 2004;10(17):2021–39.",15279543
"Moresco RM, Todde S, Belloli S, Simonelli P, Panzacchi A, Rigamonti M, et al. In vivo imaging of adenosine A2A receptors in rat and primate brain using [11C]SCH442416. Eur J Nucl Med Mol Imaging. 2005 Apr;32(4):405–13.",15549298
"Mayer CA, Haxhiu MA, Martin RJ, Wilson CG. Adenosine A2A receptors mediate GABAergic inhibition of respiration in immature rats. J Appl Physiol (1985). 2006 Jan;100(1):91–7.",16141383
"Li Q, Ye K, Blad CC, den Dulk H, Brouwer J, Ijzerman AP, et al. ZM241385, DPCPX, MRS1706 are inverse agonists with different relative intrinsic efficacies on constitutively active mutants of the human adenosine A2B receptor. J Pharmacol Exp Ther. 2007 Feb;320(2):637–45.",17077318
"Baraldi PG, Tabrizi MA, Fruttarolo F, Romagnoli R, Preti D. Recent improvements in the development of A(2B) adenosine receptor agonists. Purinergic Signal. 2008 Dec;4(4):287–303.",18443746
"Froestl W, Muhs A, Pfeifer A. Cognitive enhancers (nootropics). Part 1: drugs interacting with receptors. J Alzheimers Dis. 2012;32(4):793–887.",22886028
"Freitas HR, Ferraz G, Ferreira GC, Ribeiro-Resende VT, Chiarini LB, do Nascimento JLM, et al. Glutathione-Induced Calcium Shifts in Chick Retinal Glial Cells. PLoS One. 2016 Apr 14;11(4):e0153677.",27078878
"Freitas HR, Reis RA de M. Glutathione induces GABA release through P2X7R activation on Müller glia. Neurogenesis (Austin). 2017 Feb 6;4(1):e1283188.",28229088
"Garceau D, Chauret N. BLU-5937: A selective P2X3 antagonist with potent anti-tussive effect and no taste alteration. Pulm Pharmacol Ther. 2019 Jun;56:56–62.",30902655
"Richards D, Gever JR, Ford AP, Fountain SJ. Action of MK-7264 (gefapixant) at human P2X3 and P2X2/3 receptors and in vivo efficacy in models of sensitisation. Br J Pharmacol. 2019 Jul;176(13):2279–91.",30927255
"Marucci G, Dal Ben D, Buccioni M, Martí Navia A, Spinaci A, Volpini R, et al. Update on novel purinergic P2X3 and P2X2/3 receptor antagonists and their potential therapeutic applications. Expert Opin Ther Pat. 2019 Dec;29(12):943–63.",31726893
