citation,pmid
"Simon JP, Guiraud RF. Value of radioisotopes in the detection of phlebitis. Nouv Presse Med. 1976;5(28):1747–9.",958880
"Nogami R, Maekawa Y, Kudo S. Glycosaminoglycan content in the media of cultured dermal fibroblasts derived from burn scar and normal skin. J Dermatol. 1989 Feb;16(1):42–6.",2656805
"Nanney LB, Mueller SG, Bueno R, Peiper SC, Richmond A. Distributions of melanoma growth stimulatory activity of growth-regulated gene and the interleukin-8 receptor B in human wound repair. Am J Pathol. 1995 Nov;147(5):1248–60.",7485389
"Castagnoli C, Stella M, Magliacani G, Ferrone S, Richiardi PM. Similar ectopic expression of ICAM-1 and HLA class II molecules in hypertrophic scars following thermal injury. Burns. 1994 Oct;20(5):430–3.",7999272
"Machesney M, Tidman N, Waseem A, Kirby L, Leigh I. Activated keratinocytes in the epidermis of hypertrophic scars. Am J Pathol. 1998 May;152(5):1133–41.",9588880
"Castagnoli C, Trombotto C, Ariotti S, Millesimo M, Ravarino D, Magliacani G, et al. Expression and role of IL-15 in post-burn hypertrophic scars. J Invest Dermatol. 1999 Aug;113(2):238–45.",10469310
"Costa AM, Peyrol S, Pôrto LC, Comparin JP, Foyatier JL, Desmoulière A. Mechanical forces induce scar remodeling. Study in non-pressure-treated versus pressure-treated hypertrophic scars. Am J Pathol. 1999 Nov;155(5):1671–9.",10550323
"Nedelec B, Shankowsky H, Scott PG, Ghahary A, Tredget EE. Myofibroblasts and apoptosis in human hypertrophic scars: the effect of interferon-alpha2b. Surgery. 2001 Nov;130(5):798–808.",11685189
"Takenaka H, Yasuno H, Kishimoto S. Immunolocalization of fibroblast growth factor receptors in normal and wounded human skin. Arch Dermatol Res. 2002 Oct;294(7):331–8.",12373339
"Ali-Bahar M, Bauer B, Tredget EE, Ghahary A. Dermal fibroblasts from different layers of human skin are heterogeneous in expression of collagenase and types I and III procollagen mRNA. Wound Repair Regen. 2004;12(2):175–82.",15086769
"Tarran S, Dziewulski P, Sztynda T, Langlois NEI. A study of p53 expression in thermal burns of human skin for determination of wound age. Med Sci Law. 2004 Jul;44(3):222–6.",15296246
"Wu J, Ma B, Yi S, Wang Z, He W, Luo G, et al. Gene expression of early hypertrophic scar tissue screened by means of cDNA microarrays. J Trauma. 2004 Dec;57(6):1276–86.",15625461
"Renò F, Sabbatini M, Stella M, Magliacani G, Cannas M. Effect of in vitro mechanical compression on Epilysin (matrix metalloproteinase-28) expression in hypertrophic scars. Wound Repair Regen. 2005;13(3):255–61.",15953044
"Colwell AS, Phan T-T, Kong W, Longaker MT, Lorenz PH. Hypertrophic scar fibroblasts have increased connective tissue growth factor expression after transforming growth factor-beta stimulation. Plast Reconstr Surg. 2005 Oct;116(5):1387–90; discussion 1391-2.",16217483
