citation,pmid
"1. Majeran W, Zybailov B, Ytterberg AJ, Dunsmore J, Sun Q, van Wijk KJ. Consequences of C4 differentiation for chloroplast membrane proteomes in maize mesophyll and bundle sheath cells. Mol Cell Proteomics. 2008 Sep;7(9):1609–38. 
",18453340
"1. Friso G, Majeran W, Huang M, Sun Q, van Wijk KJ. Reconstruction of metabolic pathways, protein expression, and homeostasis machineries across maize bundle sheath and mesophyll chloroplasts: large-scale quantitative proteomics using the first maize genome assembly. Plant Physiol. 2010 Mar;152(3):1219–50. 
",20089766
"1. Chastain CJ, Botschner M, Harrington GE, Thompson BJ, Mills SE, Sarath G, et al. Further analysis of maize C(4) pyruvate,orthophosphate dikinase phosphorylation by its bifunctional regulatory protein using selective substitutions of the regulatory Thr-456 and catalytic His-458 residues. Arch Biochem Biophys. 2000 Mar 1;375(1):165–70. 
",10683263
"1. Ayala-Ochoa A, Vargas-Suárez M, Loza-Tavera H, León P, Jiménez-García LF, Sánchez-de-Jiménez E. In maize, two distinct ribulose 1,5-bisphosphate carboxylase/oxygenase activase transcripts have different day/night patterns of expression. Biochimie. 2004 Jul;86(7):439–49. 
",15308333
"1. Tausta SL, Coyle HM, Rothermel B, Stiefel V, Nelson T. Maize C4 and non-C4 NADP-dependent malic enzymes are encoded by distinct genes derived from a plastid-localized ancestor. Plant Mol Biol. 2002 Nov;50(4–5):635–52. 
",12374297
"1. Sánchez de Jiménez E, Medrano L, Martínez-Barajas E. Rubisco activase, a possible new member of the molecular chaperone family. Biochemistry. 1995 Mar 7;34(9):2826–31. 
",7893695
"1. Salvucci ME, Werneke JM, Ogren WL, Portis AR. Purification and species distribution of rubisco activase. Plant Physiol. 1987 Jul;84(3):930–6. 
",16665546
"1. Vargas-Suárez M, Ayala-Ochoa A, Lozano-Franco J, García-Torres I, Díaz-Quiñonez A, Ortíz-Navarrete VF, et al. Rubisco activase chaperone activity is regulated by a post-translational mechanism in maize leaves. J Exp Bot. 2004 Dec;55(408):2533–9. 
",15448177
"1. Li P, Ponnala L, Gandotra N, Wang L, Si Y, Tausta SL, et al. The developmental dynamics of the maize leaf transcriptome. Nat Genet. 2010 Dec;42(12):1060–7. 
",21037569
"1. Majeran W, van Wijk KJ. Cell-type-specific differentiation of chloroplasts in C4 plants. Trends Plant Sci. 2009 Feb;14(2):100–9. 
",19162526
"1. Majeran W, Cai Y, Sun Q, van Wijk KJ. Functional differentiation of bundle sheath and mesophyll maize chloroplasts determined by comparative proteomics. Plant Cell. 2005 Nov;17(11):3111–40. 
",16243905
"1. Majeran W, Friso G, Ponnala L, Connolly B, Huang M, Reidel E, et al. Structural and metabolic transitions of C4 leaf development and differentiation defined by microscopy and quantitative proteomics in maize. Plant Cell. 2010 Nov;22(11):3509–42. 
",21081695
"1. Chastain CJ, Lee ME, Moorman MA, Shameekumar P, Chollet R. Site-directed mutagenesis of maize recombinant C4-pyruvate,orthophosphate dikinase at the phosphorylatable target threonine residue. FEBS Lett. 1997 Aug 11;413(1):169–73. 
",9287137
"1. Slack CR, Hatch MD, Goodchild DJ. Distribution of enzymes in mesophyll and parenchyma-sheath chloroplasts of maize leaves in relation to the C4-dicarboxylic acid pathway of photosynthesis. Biochem J. 1969 Sep;114(3):489–98. 
",4309527
"1. Slack CR, Hatch MD. Comparative studies on the activity of carboxylases and other enzymes in relation to the new pathway of photosynthetic carbon dioxide fixation in tropical grasses. Biochem J. 1967 Jun;103(3):660–5. 
",4292834
