citation,pmid
"Nel A, Xia T, Mädler L, Li N. Toxic potential of materials at the nanolevel. Science. 2006 Feb 3;311(5761):622–7.",16456071
"Tian F, Cui D, Schwarz H, Estrada GG, Kobayashi H. Cytotoxicity of single-wall carbon nanotubes on human fibroblasts. Toxicol In Vitro. 2006 Oct;20(7):1202–12.",16697548
"Li J-G, Li W-X, Xu J-Y, Cai X-Q, Liu R-L, Li Y-J, et al. Comparative study of pathological lesions induced by multiwalled carbon nanotubes in lungs of mice by intratracheal instillation and inhalation. Environ Toxicol. 2007 Aug;22(4):415–21.",17607736
"Zolnik BS, González-Fernández A, Sadrieh N, Dobrovolskaia MA. Nanoparticles and the immune system. Endocrinology. 2010 Feb;151(2):458–65.",20016026
"Ma L, Zhao J, Wang J, Liu J, Duan Y, Liu H, et al. The Acute Liver Injury in Mice Caused by Nano-Anatase TiO2. Nanoscale Res Lett. 2009 Aug 1;4(11):1275–85.",20628458
"Johnson-Lyles DN, Peifley K, Lockett S, Neun BW, Hansen M, Clogston J, et al. Fullerenol cytotoxicity in kidney cells is associated with cytoskeleton disruption, autophagic vacuole accumulation, and mitochondrial dysfunction. Toxicol Appl Pharmacol. 2010 Nov 1;248(3):249–58.",20713077
"Nawrot TS, Perez L, Künzli N, Munters E, Nemery B. Public health importance of triggers of myocardial infarction: a comparative risk assessment. Lancet. 2011 Feb 26;377(9767):732–40.",21353301
"Greish K, Thiagarajan G, Herd H, Price R, Bauer H, Hubbard D, et al. Size and surface charge significantly influence the toxicity of silica and dendritic nanoparticles. Nanotoxicology. 2012 Nov;6(7):713–23.",21793770
"Ma Y-H, Huang C-P, Tsai J-S, Shen M-Y, Li Y-K, Lin L-Y. Water-soluble germanium nanoparticles cause necrotic cell death and the damage can be attenuated by blocking the transduction of necrotic signaling pathway. Toxicol Lett. 2011 Dec 15;207(3):258–69.",21979174
"Andón FT, Fadeel B. Programmed cell death: molecular mechanisms and implications for safety assessment of nanomaterials. Acc Chem Res. 2013 Mar 19;46(3):733–42.",22720979
"Hohnholt MC, Geppert M, Luther EM, Petters C, Bulcke F, Dringen R. Handling of iron oxide and silver nanoparticles by astrocytes. Neurochem Res. 2013 Feb;38(2):227–39.",23224777
"Du Z, Zhao D, Jing L, Cui G, Jin M, Li Y, et al. Cardiovascular toxicity of different sizes amorphous silica nanoparticles in rats after intratracheal instillation. Cardiovasc Toxicol. 2013 Sep;13(3):194–207.",23322373
"Rauch J, Kolch W, Laurent S, Mahmoudi M. Big signals from small particles: regulation of cell signaling pathways by nanoparticles. Chem Rev. 2013 May 8;113(5):3391–406.",23428231
"Chen T, Hu J, Chen C, Pu J, Cui X, Jia G. Cardiovascular effects of pulmonary exposure to titanium dioxide nanoparticles in ApoE knockout mice. J Nanosci Nanotechnol. 2013 May;13(5):3214–22.",23858833
"Nemmar A, Holme JA, Rosas I, Schwarze PE, Alfaro-Moreno E. Recent advances in particulate matter and nanoparticle toxicology: a review of the in vivo and in vitro studies. Biomed Res Int. 2013;2013:279371.",23865044
"Triboulet S, Aude-Garcia C, Carrière M, Diemer H, Proamer F, Habert A, et al. Molecular responses of mouse macrophages to copper and copper oxide nanoparticles inferred from proteomic analyses. Mol Cell Proteomics. 2013 Nov;12(11):3108–22.",23882024
"Ilinskaya AN, Dobrovolskaia MA. Immunosuppressive and anti-inflammatory properties of engineered nanomaterials. Br J Pharmacol. 2014 Sep;171(17):3988–4000.",24724793
"Azim SAA, Darwish HA, Rizk MZ, Ali SA, Kadry MO. Amelioration of titanium dioxide nanoparticles-induced liver injury in mice: possible role of some antioxidants. Exp Toxicol Pathol. 2015 Apr;67(4):305–14.",25739888
