citation,pmid
Yasuda H. Regulation of cell cycle by cdc2 kinase in mammalian cells. Seikagaku. 1992 Jan;64(1):1–13.,1535095
"Tsai LH, Harlow E, Meyerson M. Isolation of the human cdk2 gene that encodes the cyclin A- and adenovirus E1A-associated p33 kinase. Nature. 1991 Sep 12;353(6340):174–7.",1653904
"Taylor AK, Klisak I, Mohandas T, Sparkes RS, Li C, Gaynor R, et al. Assignment of the human gene for CREB1 to chromosome 2q32.3-q34. Genomics. 1990 Jul;7(3):416–21.",2142119
Draetta G. Cell cycle control in eukaryotes: molecular mechanisms of cdc2 activation. Trends Biochem Sci. 1990 Oct;15(10):378–83.,2147521
"Liu VF, Boubnov NV, Weaver DT. Cell cycle checkpoints and repair of ionizing radiation damage. Stem Cells. 1995 May;13 Suppl 1:117–28.",7488937
"Lee JM, Bernstein A. Apoptosis, cancer and the p53 tumour suppressor gene. Cancer Metastasis Rev. 1995 Jun;14(2):149–61.",7554031
"Canman CE, Chen CY, Lee MH, Kastan MB. DNA damage responses: p53 induction, cell cycle perturbations, and apoptosis. Cold Spring Harb Symp Quant Biol. 1994;59:277–86.",7587079
"Kastan MB, Canman CE, Leonard CJ. P53, cell cycle control and apoptosis: implications for cancer. Cancer Metastasis Rev. 1995 Mar;14(1):3–15.",7606818
"Leonard CJ, Canman CE, Kastan MB. The role of p53 in cell-cycle control and apoptosis: implications for cancer. Important Adv Oncol. 1995;33–42.",7672812
"Chiarugi V, Magnelli L, Cinelli M, Basi G. Apoptosis and the cell cycle. Cell Mol Biol Res. 1994;40(7–8):603–12.",7787878
Oren M. Relationship of p53 to the control of apoptotic cell death. Semin Cancer Biol. 1994 Jun;5(3):221–7.,7948950
"Yasuda H, Kamijo M, Ohba Y. The characterization of human cdc2 kinase and CDK2. Yakugaku Zasshi. 1993 Dec;113(12):829–46.",8301538
"Götz C, Montenarh M. p53: DNA damage, DNA repair, and apoptosis. Rev Physiol Biochem Pharmacol. 1996;127:65–95.",8533012
"Enoch T, Norbury C. Cellular responses to DNA damage: cell-cycle checkpoints, apoptosis and the roles of p53 and ATM. Trends Biochem Sci. 1995 Oct;20(10):426–30.",8533157
"Hale AJ, Smith CA, Sutherland LC, Stoneman VE, Longthorne VL, Culhane AC, et al. Apoptosis: molecular regulation of cell death. Eur J Biochem. 1996 Feb 15;236(1):1–26.",8617251
"Ito CY, Adey N, Bautch VL, Baldwin AS Jr. Structure and evolution of the human IKBA gene. Genomics. 1995 Sep 20;29(2):490–5.",8666399
"Heintz N. Ataxia telangiectasia: cell signaling, cell death and the cell cycle. Curr Opin Neurol. 1996 Apr;9(2):137–40.",8782982
"Tchou WW, Rom WN, Tchou-Wong KM. Novel form of p21(WAF1/CIP1/SDI1) protein in phorbol ester-induced G2/M arrest. J Biol Chem. 1996 Nov 22;271(47):29556–60.",8939883
Pines J. Cyclins and cyclin-dependent kinases: a biochemical view. Biochem J. 1995 Jun 15;308 ( Pt 3)(Pt 3):697–711.,8948422
"Duan H, Dixit VM. RAIDD is a new “death” adaptor molecule. Nature. 1997 Jan 2;385(6611):86–9.",8985253
"Savitsky K, Platzer M, Uziel T, Gilad S, Sartiel A, Rosenthal A, et al. Ataxia-telangiectasia: structural diversity of untranslated sequences suggests complex post-transcriptional regulation of ATM gene expression. Nucleic Acids Res. 1997 May 1;25(9):1678–84.",9108147
"Li H, Bergeron L, Cryns V, Pasternack MS, Zhu H, Shi L, et al. Activation of caspase-2 in apoptosis. J Biol Chem. 1997 Aug 22;272(34):21010–7.",9261102
"Rotman G, Shiloh Y. Ataxia-telangiectasia: is ATM a sensor of oxidative damage and stress? Bioessays. 1997 Oct;19(10):911–7.",9363685
"Niculescu AB 3rd, Chen X, Smeets M, Hengst L, Prives C, Reed SI. Effects of p21(Cip1/Waf1) at both the G1/S and the G2/M cell cycle transitions: pRb is a critical determinant in blocking DNA replication and in preventing endoreduplication. Mol Cell Biol. 1998 Jan;18(1):629–43.",9418909
"Vispé S, Defais M. Mammalian Rad51 protein: a RecA homologue with pleiotropic functions. Biochimie. 1997 Oct;79(9–10):587–92.",9466696
"Verheij M, Ruiter GA, Zerp SF, van Blitterswijk WJ, Fuks Z, Haimovitz-Friedman A, et al. The role of the stress-activated protein kinase (SAPK/JNK) signaling pathway in radiation-induced apoptosis. Radiother Oncol. 1998 Jun;47(3):225–32.",9681884
"Rotman G, Shiloh Y. ATM: from gene to function. Hum Mol Genet. 1998;7(10):1555–63.",9735376
"Barboule N, Lafon C, Chadebech P, Vidal S, Valette A. Involvement of p21 in the PKC-induced regulation of the G2/M cell cycle transition. FEBS Lett. 1999 Feb 5;444(1):32–7.",10037143
"Shalom S, Don J. Tlk, a novel evolutionarily conserved murine serine threonine kinase, encodes multiple testis transcripts. Mol Reprod Dev. 1999 Apr;52(4):392–405.",10092119
"Cabannes E, Khan G, Aillet F, Jarrett RF, Hay RT. Mutations in the IkBa gene in Hodgkin’s disease suggest a tumour suppressor role for IkappaBalpha. Oncogene. 1999 May 20;18(20):3063–70.",10340377
