citation,pmid
",10227052
",3372162
"1. Vásárhelyi B, Blázovics A, Fehér J. The role of vitamin A analogues and derivatives in the regulation of cell function. Orv Hetil. 1993 Apr 18;134(16):845–8. 
",8469562
",2656356
",1595584
",12937841
",8017322
"1. Botilsrud M, Holmberg I, Wathne KO, Blomhoff HK, Norum KR, Blomhoff R. Effect of retinoids and 1,25(OH)2 vitamin D3 bound to their plasma transport proteins on growth and differentiation of HL-60 cells. Scand J Clin Lab Invest. 1990 May;50(3):309–17. 
",2353161
",9453379
"1. Sommerburg O, Keunen JE, Bird AC, van Kuijk FJ. Fruits and vegetables that are sources for lutein and zeaxanthin: the macular pigment in human eyes. Br J Ophthalmol. 1998 Aug;82(8):907–10. 
",9828775
"1. Sturgeon SR, Ziegler RG, Brinton LA, Nasca PC, Mallin K, Gridley G. Diet and the risk of vulvar cancer. Ann Epidemiol. 1991 Aug;1(5):427–37. 
",1669523
1. Satoh T. Fat-soluble vitamins: biotransformation. Nihon Rinsho. 1993 Apr;51(4):865–70. 
,8483266
",9627692
",3019190
",8948389
"1. Heber D, Lu Q-Y. Overview of mechanisms of action of lycopene. Exp Biol Med (Maywood). 2002 Nov;227(10):920–3. 
",12424335
",1444060
",1416048
",12401878
",11585356
",8878137
"1. Yong LC, Forman MR, Beecher GR, Graubard BI, Campbell WS, Reichman ME, et al. Relationship between dietary intake and plasma concentrations of carotenoids in premenopausal women: application of the USDA-NCI carotenoid food-composition database. Am J Clin Nutr. 1994 Aug;60(2):223–30. 
",8030600
",12806616
