citation,pmid
"1. Lee WH, Lukacik P, Guo K, Ugochukwu E, Kavanagh KL, Marsden B, et al. Structure-activity relationships of human AKR-type oxidoreductases involved in bile acid synthesis: AKR1D1 and AKR1C4. Mol Cell Endocrinol. 2009 Mar 25;301(1–2):199–204. 
",19013211
"1. Spassieva S, Seo J-G, Jiang JC, Bielawski J, Alvarez-Vasquez F, Jazwinski SM, et al. Necessary role for the Lag1p motif in (dihydro)ceramide synthase activity. J Biol Chem. 2006 Nov 10;281(45):33931–8. 
",16951403
"1. Spassieva S, Seo J-G, Jiang JC, Bielawski J, Alvarez-Vasquez F, Jazwinski SM, et al. Necessary role for the Lag1p motif in (dihydro)ceramide synthase activity. J Biol Chem. 2006 Nov 10;281(45):33931–8. 
",16951403
"1. Molnar J, Garamvolgyi Z, Herold M, Adanyi N, Somogyi A, Rigo J Jr. Serum selenium concentrations correlate significantly with inflammatory biomarker high-sensitive CRP levels in Hungarian gestational diabetic and healthy pregnant women at mid-pregnancy. Biol Trace Elem Res. 2008 Jan;121(1):16–22. 
",17960332
"1. Panee J, Stoytcheva ZR, Liu W, Berry MJ. Selenoprotein H is a redox-sensing high mobility group family DNA-binding protein that up-regulates genes involved in glutathione synthesis and phase II detoxification. J Biol Chem. 2007 Aug 17;282(33):23759–65. 
",17526492
"1. Panee J, Stoytcheva ZR, Liu W, Berry MJ. Selenoprotein H is a redox-sensing high mobility group family DNA-binding protein that up-regulates genes involved in glutathione synthesis and phase II detoxification. J Biol Chem. 2007 Aug 17;282(33):23759–65. 
",17526492
"1. Köhrle J, Jakob F, Contempré B, Dumont JE. Selenium, the thyroid, and the endocrine system. Endocr Rev. 2005 Dec;26(7):944–84. 
",16174820
"1. Köhrle J, Jakob F, Contempré B, Dumont JE. Selenium, the thyroid, and the endocrine system. Endocr Rev. 2005 Dec;26(7):944–84. 
",16174820
"1. Köhrle J, Jakob F, Contempré B, Dumont JE. Selenium, the thyroid, and the endocrine system. Endocr Rev. 2005 Dec;26(7):944–84. 
",16174820
"1. Hammons AL, Summers CM, Woodside JV, McNulty H, Strain JJ, Young IS, et al. Folate/homocysteine phenotypes and MTHFR 677C>T genotypes are associated with serum levels of monocyte chemoattractant protein-1. Clin Immunol. 2009 Oct;133(1):132–7. 
",19625220
"1. Laden BP, Tang Y, Porter TD. Cloning, heterologous expression, and enzymological characterization of human squalene monooxygenase. Arch Biochem Biophys. 2000 Feb 15;374(2):381–8. 
",10666321
"1. Levin G, Duffin KL, Obukowicz MG, Hummert SL, Fujiwara H, Needleman P, et al. Differential metabolism of dihomo-gamma-linolenic acid and arachidonic acid by cyclo-oxygenase-1 and cyclo-oxygenase-2: implications for cellular synthesis of prostaglandin E1 and prostaglandin E2. Biochem J. 2002 Jul 15;365(Pt 2):489–96. 
",11939906
"1. Molnár I, Balázs C, Szegedi G, Sipka S. Inhibition of type 2,5’-deiodinase by tumor necrosis factor alpha, interleukin-6 and interferon gamma in human thyroid tissue. Immunol Lett. 2002 Jan 1;80(1):3–7. 
",11716958
"1. Santhanam U, Ray A, Sehgal PB. Repression of the interleukin 6 gene promoter by p53 and the retinoblastoma susceptibility gene product. Proc Natl Acad Sci U S A. 1991 Sep 1;88(17):7605–9. 
",1652755
"1. Yang P, Chan D, Felix E, Cartwright C, Menter DG, Madden T, et al. Formation and antiproliferative effect of prostaglandin E(3) from eicosapentaenoic acid in human lung cancer cells. J Lipid Res. 2004 Jun;45(6):1030–9. 
",14993240
1. Serhan CN. Lipoxins and novel aspirin-triggered 15-epi-lipoxins (ATL): a jungle of cell-cell interactions or a therapeutic opportunity? Prostaglandins. 1997 Feb;53(2):107–37. 
,9112289
1. Serhan CN. Lipoxins and novel aspirin-triggered 15-epi-lipoxins (ATL): a jungle of cell-cell interactions or a therapeutic opportunity? Prostaglandins. 1997 Feb;53(2):107–37. 
,9112289
"1. Liu YY, Han TY, Giuliano AE, Cabot MC. Expression of glucosylceramide synthase, converting ceramide to glucosylceramide, confers adriamycin resistance in human breast cancer cells. J Biol Chem. 1999 Jan 8;274(2):1140–6. 
",9873062
1. Finkelstein JD. The metabolism of homocysteine: pathways and regulation. Eur J Pediatr. 1998 Apr;157 Suppl 2:S40-4. 
,9587024
"1. Ben Jilani KE, Panee J, He Q, Berry MJ, Li P-A. Overexpression of selenoprotein H reduces Ht22 neuronal cell death after UVB irradiation by preventing superoxide formation. Int J Biol Sci. 2007 Feb 11;3(4):198–204. 
",17389926
