citation,pmid
"Cory S, Huang DCS, Adams JM. The Bcl-2 family: roles in cell survival and oncogenesis. Oncogene. 2003 Nov 24;22(53):8590–607.",14634621
"Lahav G, Rosenfeld N, Sigal A, Geva-Zatorsky N, Levine AJ, Elowitz MB, et al. Dynamics of the p53-Mdm2 feedback loop in individual cells. Nat Genet. 2004 Feb;36(2):147–50.",14730303
"Zhou B-BS, Bartek J. Targeting the checkpoint kinases: chemosensitization versus chemoprotection. Nat Rev Cancer. 2004 Mar;4(3):216–25.",14993903
"Pagano M, Jackson PK. Wagging the dogma; tissue-specific cell cycle control in the mouse embryo. Cell. 2004 Sep 3;118(5):535–8.",15339658
"Ljungman M, Lane DP. Transcription - guarding the genome by sensing DNA damage. Nat Rev Cancer. 2004 Sep;4(9):727–37.",15343279
"Sherr CJ, Roberts JM. Living with or without cyclins and cyclin-dependent kinases. Genes Dev. 2004 Nov 15;18(22):2699–711.",15545627
"Reshmi SC, Gollin SM. Chromosomal instability in oral cancer cells. J Dent Res. 2005 Feb;84(2):107–17.",15668327
"Sengupta S, Harris CC. p53: traffic cop at the crossroads of DNA repair and recombination. Nat Rev Mol Cell Biol. 2005 Jan;6(1):44–55.",15688066
Strasser A. The role of BH3-only proteins in the immune system. Nat Rev Immunol. 2005 Mar;5(3):189–200.,15719025
"Harrison JC, Haber JE. Surviving the breakup: the DNA damage checkpoint. Annu Rev Genet. 2006;40:209–35.",16805667
"Gil J, Peters G. Regulation of the INK4b-ARF-INK4a tumour suppressor locus: all for one or one for all. Nat Rev Mol Cell Biol. 2006 Sep;7(9):667–77.",16921403
"Sparmann A, van Lohuizen M. Polycomb silencers control cell fate, development and cancer. Nat Rev Cancer. 2006 Nov;6(11):846–56.",17060944
"Toledo F, Wahl GM. Regulating the p53 pathway: in vitro hypotheses, in vivo veritas. Nat Rev Cancer. 2006 Dec;6(12):909–23.",17128209
"Vousden KH, Lane DP. p53 in health and disease. Nat Rev Mol Cell Biol. 2007 Apr;8(4):275–83.",17380161
"Boutros R, Lobjois V, Ducommun B. CDC25 phosphatases in cancer cells: key players? Good targets? Nat Rev Cancer. 2007 Jul;7(7):495–507.",17568790
Wang W. Emergence of a DNA-damage response network consisting of Fanconi anaemia and BRCA proteins. Nat Rev Genet. 2007 Oct;8(10):735–48.,17768402
"Löbrich M, Jeggo PA. The impact of a negligent G2/M checkpoint on genomic instability and cancer induction. Nat Rev Cancer. 2007 Nov;7(11):861–9.",17943134
"Antoni L, Sodha N, Collins I, Garrett MD. CHK2 kinase: cancer susceptibility and cancer therapy - two sides of the same coin? Nat Rev Cancer. 2007 Dec;7(12):925–36.",18004398
"Chargari C, Toillon RA, Macdermed D, Castadot P, Magné N. Concurrent hormone and radiation therapy in patients with breast cancer: what is the rationale? Lancet Oncol. 2009 Jan;10(1):53–60.",19111245
