citation,pmid
"Frieman M, Heise M, Baric R. SARS coronavirus and innate immunity. Virus Res. 2008 Apr;133(1):101–12.",17451827
"Arnoult D, Soares F, Tattoli I, Castanier C, Philpott DJ, Girardin SE. An N-terminal addressing sequence targets NLRX1 to the mitochondrial matrix. J Cell Sci. 2009 Sep 1;122(Pt 17):3161–8.",19692591
"Morgan MJ, Liu Z. Crosstalk of reactive oxygen species and NF-κB signaling. Cell Res. 2011 Jan;21(1):103–15.",21187859
"West AP, Shadel GS, Ghosh S. Mitochondria in innate immune responses. Nat Rev Immunol. 2011 Jun;11(6):389–402.",21597473
"Allen IC, Moore CB, Schneider M, Lei Y, Davis BK, Scull MA, et al. NLRX1 protein attenuates inflammatory responses to infection by interfering with the RIG-I-MAVS and TRAF6-NF-κB signaling pathways. Immunity. 2011 Jun 24;34(6):854–65.",21703540
"Lei Y, Wen H, Ting JPY. The NLR protein, NLRX1, and its partner, TUFM, reduce type I interferon, and enhance autophagy. Autophagy. 2013 Mar;9(3):432–3.",23321557
"Qin Y, Xue B, Liu C, Wang X, Tian R, Xie Q, et al. NLRX1 Mediates MAVS Degradation To Attenuate the Hepatitis C Virus-Induced Innate Immune Response through PCBP2. J Virol. 2017 Nov 14;91(23):e01264-17.",28956771
"Zhao R-Z, Jiang S, Zhang L, Yu Z-B. Mitochondrial electron transport chain, ROS generation and uncoupling (Review). Int J Mol Med. 2019 Jul;44(1):3–15.",31115493
"Gordon DE, Jang GM, Bouhaddou M, Xu J, Obernier K, White KM, et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature. 2020 Jul;583(7816):459–68.",32353859
"Offringa A, Montijn R, Singh S, Paul M, Pinto YM, Pinto-Sietsma S-J. The mechanistic overview of SARS-CoV-2 using angiotensin-converting enzyme 2 to enter the cell for replication: possible treatment options related to the renin-angiotensin system. Eur Heart J Cardiovasc Pharmacother. 2020 Sep 1;6(5):317–25.",32464637
"Berthelot J-M, Drouet L, Lioté F. Kawasaki-like diseases and thrombotic coagulopathy in COVID-19: delayed over-activation of the STING pathway? Emerg Microbes Infect. 2020 Dec;9(1):1514–22.",32574107
"Davies JP, Almasy KM, McDonald EF, Plate L. Comparative multiplexed interactomics of SARS-CoV-2 and homologous coronavirus non-structural proteins identifies unique and shared host-cell dependencies. bioRxiv. 2020 Jul 14;2020.07.13.201517.",32699849
"Shin D, Mukherjee R, Grewe D, Bojkova D, Baek K, Bhattacharya A, et al. Papain-like protease regulates SARS-CoV-2 viral spread and innate immunity. Nature. 2020 Nov;587(7835):657–62.",32726803
"Jiang H-W, Zhang H-N, Meng Q-F, Xie J, Li Y, Chen H, et al. SARS-CoV-2 Orf9b suppresses type I interferon responses by targeting TOM70. Cell Mol Immunol. 2020 Sep;17(9):998–1000.",32728199
"Robinson EL, Alkass K, Bergmann O, Maguire JJ, Roderick HL, Davenport AP. Genes encoding ACE2, TMPRSS2 and related proteins mediating SARS-CoV-2 viral entry are upregulated with age in human cardiomyocytes. J Mol Cell Cardiol. 2020 Oct;147:88–91.",32818486
"Dominguez Andres A, Feng Y, Campos AR, Yin J, Yang C-C, James B, et al. SARS-CoV-2 ORF9c Is a Membrane-Associated Protein that Suppresses Antiviral Responses in Cells. bioRxiv. 2020 Aug 19;2020.08.18.256776.",32839770
"Xia H, Cao Z, Xie X, Zhang X, Chen JY-C, Wang H, et al. Evasion of Type I Interferon by SARS-CoV-2. Cell Rep. 2020 Oct 6;33(1):108234.",32979938
"Li Y, Renner DM, Comar CE, Whelan JN, Reyes HM, Cardenas-Diaz FL, et al. SARS-CoV-2 induces double-stranded RNA-mediated innate immune responses in respiratory epithelial derived cells and cardiomyocytes. bioRxiv. 2020 Nov 2;2020.09.24.312553.",32995797
"Burtscher J, Cappellano G, Omori A, Koshiba T, Millet GP. Mitochondria: In the Cross Fire of SARS-CoV-2 and Immunity. iScience. 2020 Oct 23;23(10):101631.",33015593
"Kreimendahl S, Rassow J. The Mitochondrial Outer Membrane Protein Tom70-Mediator in Protein Traffic, Membrane Contact Sites and Innate Immunity. Int J Mol Sci. 2020 Oct 1;21(19):7262.",33019591
"Suhail S, Zajac J, Fossum C, Lowater H, McCracken C, Severson N, et al. Role of Oxidative Stress on SARS-CoV (SARS) and SARS-CoV-2 (COVID-19) Infection: A Review. Protein J. 2020 Dec;39(6):644–56.",33106987
"V’kovski P, Kratzel A, Steiner S, Stalder H, Thiel V. Coronavirus biology and replication: implications for SARS-CoV-2. Nat Rev Microbiol. 2021 Mar;19(3):155–70.",33116300
"Banerjee A, El-Sayes N, Budylowski P, Jacob RA, Richard D, Maan H, et al. Experimental and natural evidence of SARS-CoV-2-infection-induced activation of type I interferon responses. iScience. 2021 May 21;24(5):102477.",33937724
