citation,pmid
"1. Clerk A, Sugden PH. Small guanine nucleotide-binding proteins and myocardial hypertrophy. Circ Res. 2000 May 26;86(10):1019–23. 
",10827130
"1. Molkentin JD, Lu JR, Antos CL, Markham B, Richardson J, Robbins J, et al. A calcineurin-dependent transcriptional pathway for cardiac hypertrophy. Cell. 1998 Apr 17;93(2):215–28. 
",9568714
"1. Bueno OF, De Windt LJ, Tymitz KM, Witt SA, Kimball TR, Klevitsky R, et al. The MEK1-ERK1/2 signaling pathway promotes compensated cardiac hypertrophy in transgenic mice. EMBO J. 2000 Dec 1;19(23):6341–50. 
",11101507
"1. Takeishi Y, Ping P, Bolli R, Kirkpatrick DL, Hoit BD, Walsh RA. Transgenic overexpression of constitutively active protein kinase C epsilon causes concentric cardiac hypertrophy. Circ Res. 2000 Jun 23;86(12):1218–23. 
",10864911
1. MacLellan WR. Advances in the molecular mechanisms of heart failure. Curr Opin Cardiol. 2000 May;15(3):128–35. 
,10952417
"1. Wollert KC, Chien KR. Cardiotrophin-1 and the role of gp130-dependent signaling pathways in cardiac growth and development. J Mol Med (Berl). 1997 Jul;75(7):492–501. 
",9253712
"1. Lim HW, Molkentin JD. Calcineurin and human heart failure. Nat Med. 1999 Mar;5(3):246–7. 
",10086361
1. Wang Y. Signal transduction in cardiac hypertrophy--dissecting compensatory versus pathological pathways utilizing a transgenic approach. Curr Opin Pharmacol. 2001 Apr;1(2):134–40. 
,11714087
"1. Wang Y, Su B, Sah VP, Brown JH, Han J, Chien KR. Cardiac hypertrophy induced by mitogen-activated protein kinase kinase 7, a specific activator for c-Jun NH2-terminal kinase in ventricular muscle cells. J Biol Chem. 1998 Mar 6;273(10):5423–6. 
",9488659
"1. Jalili T, Takeishi Y, Walsh RA. Signal transduction during cardiac hypertrophy: the role of G alpha q, PLC beta I, and PKC. Cardiovasc Res. 1999 Oct;44(1):5–9. 
",10615383
"1. Olson EN, Molkentin JD. Prevention of cardiac hypertrophy by calcineurin inhibition: hope or hype? Circ Res. 1999 Apr 2;84(6):623–32. 
",10189350
1. Molkentin JD. Calcineurin and beyond: cardiac hypertrophic signaling. Circ Res. 2000 Oct 27;87(9):731–8. 
,11055975
"1. Wollert KC, Taga T, Saito M, Narazaki M, Kishimoto T, Glembotski CC, et al. Cardiotrophin-1 activates a distinct form of cardiac muscle cell hypertrophy. Assembly of sarcomeric units in series VIA gp130/leukemia inhibitory factor receptor-dependent pathways. J Biol Chem. 1996 Apr 19;271(16):9535–45. 
",8621626
"1. Hunter JJ, Chien KR. Signaling pathways for cardiac hypertrophy and failure. N Engl J Med. 1999 Oct 21;341(17):1276–83. 
",10528039
"1. Heineke J, Molkentin JD. Regulation of cardiac hypertrophy by intracellular signalling pathways. Nat Rev Mol Cell Biol. 2006 Aug;7(8):589–600. 
",16936699
