citation,pmid
"Cory S, Huang DCS, Adams JM. The Bcl-2 family: roles in cell survival and oncogenesis. Oncogene. 2003 Nov 24;22(53):8590–607.",14634621
"Lahav G, Rosenfeld N, Sigal A, Geva-Zatorsky N, Levine AJ, Elowitz MB, et al. Dynamics of the p53-Mdm2 feedback loop in individual cells. Nat Genet. 2004 Feb;36(2):147–50.",14730303
"Zhou B-BS, Bartek J. Targeting the checkpoint kinases: chemosensitization versus chemoprotection. Nat Rev Cancer. 2004 Mar;4(3):216–25.",14993903
"Ohtsuka T, Jensen MR, Kim HG, Kim K-T, Lee SW. The negative role of cyclin G in ATM-dependent p53 activation. Oncogene. 2004 Jul 8;23(31):5405–8.",15077171
"Pagano M, Jackson PK. Wagging the dogma; tissue-specific cell cycle control in the mouse embryo. Cell. 2004 Sep 3;118(5):535–8.",15339658
"Ljungman M, Lane DP. Transcription - guarding the genome by sensing DNA damage. Nat Rev Cancer. 2004 Sep;4(9):727–37.",15343279
"Sherr CJ, Roberts JM. Living with or without cyclins and cyclin-dependent kinases. Genes Dev. 2004 Nov 15;18(22):2699–711.",15545627
"Reshmi SC, Gollin SM. Chromosomal instability in oral cancer cells. J Dent Res. 2005 Feb;84(2):107–17.",15668327
"Sengupta S, Harris CC. p53: traffic cop at the crossroads of DNA repair and recombination. Nat Rev Mol Cell Biol. 2005 Jan;6(1):44–55.",15688066
Strasser A. The role of BH3-only proteins in the immune system. Nat Rev Immunol. 2005 Mar;5(3):189–200.,15719025
"O’Donnell KA, Wentzel EA, Zeller KI, Dang CV, Mendell JT. c-Myc-regulated microRNAs modulate E2F1 expression. Nature. 2005 Jun 9;435(7043):839–43.",15944709
"Harrison JC, Haber JE. Surviving the breakup: the DNA damage checkpoint. Annu Rev Genet. 2006;40:209–35.",16805667
"Gil J, Peters G. Regulation of the INK4b-ARF-INK4a tumour suppressor locus: all for one or one for all. Nat Rev Mol Cell Biol. 2006 Sep;7(9):667–77.",16921403
"Sparmann A, van Lohuizen M. Polycomb silencers control cell fate, development and cancer. Nat Rev Cancer. 2006 Nov;6(11):846–56.",17060944
"Toledo F, Wahl GM. Regulating the p53 pathway: in vitro hypotheses, in vivo veritas. Nat Rev Cancer. 2006 Dec;6(12):909–23.",17128209
"Sylvestre Y, De Guire V, Querido E, Mukhopadhyay UK, Bourdeau V, Major F, et al. An E2F/miR-20a autoregulatory feedback loop. J Biol Chem. 2007 Jan 26;282(4):2135–43.",17135249
"Woods K, Thomson JM, Hammond SM. Direct regulation of an oncogenic micro-RNA cluster by E2F transcription factors. J Biol Chem. 2007 Jan 26;282(4):2130–4.",17135268
"Vousden KH, Lane DP. p53 in health and disease. Nat Rev Mol Cell Biol. 2007 Apr;8(4):275–83.",17380161
"Boutros R, Lobjois V, Ducommun B. CDC25 phosphatases in cancer cells: key players? Good targets? Nat Rev Cancer. 2007 Jul;7(7):495–507.",17568790
"Galardi S, Mercatelli N, Giorda E, Massalini S, Frajese GV, Ciafrè SA, et al. miR-221 and miR-222 expression affects the proliferation potential of human prostate carcinoma cell lines by targeting p27Kip1. J Biol Chem. 2007 Aug 10;282(32):23716–24.",17569667
Wang W. Emergence of a DNA-damage response network consisting of Fanconi anaemia and BRCA proteins. Nat Rev Genet. 2007 Oct;8(10):735–48.,17768402
"Coller HA, Forman JJ, Legesse-Miller A. “Myc’ed messages”: myc induces transcription of E2F1 while inhibiting its translation via a microRNA polycistron. PLoS Genet. 2007 Aug;3(8):e146.",17784791
"Sampson VB, Rong NH, Han J, Yang Q, Aris V, Soteropoulos P, et al. MicroRNA let-7a down-regulates MYC and reverts MYC-induced growth in Burkitt lymphoma cells. Cancer Res. 2007 Oct 15;67(20):9762–70.",17942906
"Löbrich M, Jeggo PA. The impact of a negligent G2/M checkpoint on genomic instability and cancer induction. Nat Rev Cancer. 2007 Nov;7(11):861–9.",17943134
"Antoni L, Sodha N, Collins I, Garrett MD. CHK2 kinase: cancer susceptibility and cancer therapy - two sides of the same coin? Nat Rev Cancer. 2007 Dec;7(12):925–36.",18004398
"Ivanovska I, Ball AS, Diaz RL, Magnus JF, Kibukawa M, Schelter JM, et al. MicroRNAs in the miR-106b family regulate p21/CDKN1A and promote cell cycle progression. Mol Cell Biol. 2008 Apr;28(7):2167–74.",18212054
"Fornari F, Gramantieri L, Ferracin M, Veronese A, Sabbioni S, Calin GA, et al. MiR-221 controls CDKN1C/p57 and CDKN1B/p27 expression in human hepatocellular carcinoma. Oncogene. 2008 Sep 25;27(43):5651–61.",18521080
"Bueno MJ, Pérez de Castro I, Gómez de Cedrón M, Santos J, Calin GA, Cigudosa JC, et al. Genetic and epigenetic silencing of microRNA-203 enhances ABL1 and BCR-ABL1 oncogene expression. Cancer Cell. 2008 Jun;13(6):496–506.",18538733
"Kong YW, Cannell IG, de Moor CH, Hill K, Garside PG, Hamilton TL, et al. The mechanism of micro-RNA-mediated translation repression is determined by the promoter of the target gene. Proc Natl Acad Sci U S A. 2008 Jul 1;105(26):8866–71.",18579786
"Liu Q, Fu H, Sun F, Zhang H, Tie Y, Zhu J, et al. miR-16 family induces cell cycle arrest by regulating multiple cell cycle genes. Nucleic Acids Res. 2008 Sep;36(16):5391–404.",18701644
"Lee S-O, Masyuk T, Splinter P, Banales JM, Masyuk A, Stroope A, et al. MicroRNA15a modulates expression of the cell-cycle regulator Cdc25A and affects hepatic cystogenesis in a rat model of polycystic kidney disease. J Clin Invest. 2008 Nov;118(11):3714–24.",18949056
"Brosh R, Shalgi R, Liran A, Landan G, Korotayev K, Nguyen GH, et al. p53-Repressed miRNAs are involved with E2F in a feed-forward loop promoting proliferation. Mol Syst Biol. 2008;4:229.",19034270
"Chargari C, Toillon RA, Macdermed D, Castadot P, Magné N. Concurrent hormone and radiation therapy in patients with breast cancer: what is the rationale? Lancet Oncol. 2009 Jan;10(1):53–60.",19111245
"Gramantieri L, Fornari F, Callegari E, Sabbioni S, Lanza G, Croce CM, et al. MicroRNA involvement in hepatocellular carcinoma. J Cell Mol Med. 2008 Dec;12(6A):2189–204.",19120703
"Crosby ME, Kulshreshtha R, Ivan M, Glazer PM. MicroRNA regulation of DNA repair gene expression in hypoxic stress. Cancer Res. 2009 Feb 1;69(3):1221–9.",19141645
"Sachdeva M, Zhu S, Wu F, Wu H, Walia V, Kumar S, et al. p53 represses c-Myc through induction of the tumor suppressor miR-145. Proc Natl Acad Sci U S A. 2009 Mar 3;106(9):3207–12.",19202062
"Pigazzi M, Manara E, Baron E, Basso G. miR-34b targets cyclic AMP-responsive element binding protein in acute myeloid leukemia. Cancer Res. 2009 Mar 15;69(6):2471–8.",19258499
"Cuesta R, Martínez-Sánchez A, Gebauer F. miR-181a regulates cap-dependent translation of p27(kip1) mRNA in myeloid cells. Mol Cell Biol. 2009 May;29(10):2841–51.",19273599
"Lal A, Pan Y, Navarro F, Dykxhoorn DM, Moreau L, Meire E, et al. miR-24-mediated downregulation of H2AX suppresses DNA repair in terminally differentiated blood cells. Nat Struct Mol Biol. 2009 May;16(5):492–8.",19377482
"Pothof J, Verkaik NS, van IJcken W, Wiemer EAC, Ta VTB, van der Horst GTJ, et al. MicroRNA-mediated gene silencing modulates the UV-induced DNA-damage response. EMBO J. 2009 Jul 22;28(14):2090–9.",19536137
"Lee K-H, Chen Y-L, Yeh S-D, Hsiao M, Lin J-T, Goan Y-G, et al. MicroRNA-330 acts as tumor suppressor and induces apoptosis of prostate cancer cells through E2F1-mediated suppression of Akt phosphorylation. Oncogene. 2009 Sep 24;28(38):3360–70.",19597470
"Wang P, Zou F, Zhang X, Li H, Dulak A, Tomko RJ Jr, et al. microRNA-21 negatively regulates Cdc25A and cell cycle progression in colon cancer cells. Cancer Res. 2009 Oct 15;69(20):8157–65.",19826040
"Yang X, Feng M, Jiang X, Wu Z, Li Z, Aau M, et al. miR-449a and miR-449b are direct transcriptional targets of E2F1 and negatively regulate pRb-E2F1 activity through a feedback loop by targeting CDK6 and CDC25A. Genes Dev. 2009 Oct 15;23(20):2388–93.",19833767
"Pulikkan JA, Dengler V, Peramangalam PS, Peer Zada AA, Müller-Tidow C, Bohlander SK, et al. Cell-cycle regulator E2F1 and microRNA-223 comprise an autoregulatory negative feedback loop in acute myeloid leukemia. Blood. 2010 Mar 4;115(9):1768–78.",20029046
"Hu H, Du L, Nagabayashi G, Seeger RC, Gatti RA. ATM is down-regulated by N-Myc-regulated microRNA-421. Proc Natl Acad Sci U S A. 2010 Jan 26;107(4):1506–11.",20080624
"Zhao J-J, Lin J, Lwin T, Yang H, Guo J, Kong W, et al. microRNA expression profile and identification of miR-29 as a prognostic marker and pathogenetic factor by targeting CDK6 in mantle cell lymphoma. Blood. 2010 Apr 1;115(13):2630–9.",20086245
