citation,pmid
"1. Rognum IJ, Haynes RL, Vege A, Yang M, Rognum TO, Kinney HC. Interleukin-6 and the serotonergic system of the medulla oblongata in the sudden infant death syndrome. Acta Neuropathol. 2009 Oct;118(4):519–30. 
",19396608
"1. Hendricks T, Francis N, Fyodorov D, Deneris ES. The ETS domain factor Pet-1 is an early and precise marker of central serotonin neurons and interacts with a conserved element in serotonergic genes. J Neurosci. 1999 Dec 1;19(23):10348–56. 
",10575032
"1. Dergacheva O, Griffioen KJS, Wang X, Kamendi H, Gorini C, Mendelowitz D. 5-HT(2) receptor subtypes mediate different long-term changes in GABAergic activity to parasympathetic cardiac vagal neurons in the nucleus ambiguus. Neuroscience. 2007 Nov 9;149(3):696–705. 
",17869437
"1. Ou X-M, Chen K, Shih JC. Glucocorticoid and androgen activation of monoamine oxidase A is regulated differently by R1 and Sp1. J Biol Chem. 2006 Jul 28;281(30):21512–25. 
",16728402
"1. Ou X-M, Chen K, Shih JC. Glucocorticoid and androgen activation of monoamine oxidase A is regulated differently by R1 and Sp1. J Biol Chem. 2006 Jul 28;281(30):21512–25. 
",16728402
"1. Ou X-M, Chen K, Shih JC. Glucocorticoid and androgen activation of monoamine oxidase A is regulated differently by R1 and Sp1. J Biol Chem. 2006 Jul 28;281(30):21512–25. 
",16728402
"1. Rahim RA, Boyd PA, Ainslie Patrick WJ, Burdon RH. Human heat shock protein gene polymorphisms and sudden infant death syndrome. Arch Dis Child. 1996 Nov;75(5):451–2. 
",8957963
"1. Cummings KJ, Klotz C, Liu W-Q, Weese-Mayer DE, Marazita ML, Cooper ME, et al. Sudden infant death syndrome (SIDS) in African Americans: polymorphisms in the gene encoding the stress peptide pituitary adenylate cyclase-activating polypeptide (PACAP). Acta Paediatr. 2009 Mar;98(3):482–9. 
",19120039
"1. Sullivan GM, Ogden RT, Oquendo MA, Kumar JSD, Simpson N, Huang Y, et al. Positron emission tomography quantification of serotonin-1A receptor binding in medication-free bipolar depression. Biol Psychiatry. 2009 Aug 1;66(3):223–30. 
",19278673
"1. Opdal SH, Vege A, Stave AK, Rognum TO. The complement component C4 in sudden infant death. Eur J Pediatr. 1999 Mar;158(3):210–2. 
",10094440
"1. Roberts J, Scott AC, Howard MR, Breen G, Bubb VJ, Klenova E, et al. Differential regulation of the serotonin transporter gene by lithium is mediated by transcription factors, CCCTC binding protein and Y-box binding protein 1, through the polymorphic intron 2 variable number tandem repeat. J Neurosci. 2007 Mar 14;27(11):2793–801. 
",17360901
"1. Miyata A, Sugawara H, Iwata S, Shimizu T, Kangawa K. The regulatory mechanism for neuron specific expression of PACAP gene. Nihon Yakurigaku Zasshi. 2004 Apr;123(4):235–42. 
",15056938
"1. Tester DJ, Ackerman MJ. Cardiomyopathic and channelopathic causes of sudden unexplained death in infants and children. Annu Rev Med. 2009;60:69–84. 
",18928334
"1. Scott MM, Krueger KC, Deneris ES. A differentially autoregulated Pet-1 enhancer region is a critical target of the transcriptional cascade that governs serotonin neuron development. J Neurosci. 2005 Mar 9;25(10):2628–36. 
",15758173
"1. Weese-Mayer DE, Berry-Kravis EM, Zhou L, Maher BS, Curran ME, Silvestri JM, et al. Sudden infant death syndrome: case-control frequency differences at genes pertinent to early autonomic nervous system embryologic development. Pediatr Res. 2004 Sep;56(3):391–5. 
",15240857
"1. Hauge Opdal S, Melien Ø, Rootwelt H, Vege A, Arnestad M, Ole Rognum T. The G protein beta3 subunit 825C allele is associated with sudden infant death due to infection. Acta Paediatr. 2006 Sep;95(9):1129–32. 
",16938762
"1. Rand CM, Berry-Kravis EM, Fan W, Weese-Mayer DE. HTR2A variation and sudden infant death syndrome: a case-control analysis. Acta Paediatr. 2009 Jan;98(1):58–61. 
",18771483
"1. Lau P, Nixon SJ, Parton RG, Muscat GEO. RORalpha regulates the expression of genes involved in lipid homeostasis in skeletal muscle cells: caveolin-3 and CPT-1 are direct targets of ROR. J Biol Chem. 2004 Aug 27;279(35):36828–40. 
",15199055
"1. Alenina N, Bashammakh S, Bader M. Specification and differentiation of serotonergic neurons. Stem Cell Rev. 2006;2(1):5–10. 
",17142880
"1. Alenina N, Bashammakh S, Bader M. Specification and differentiation of serotonergic neurons. Stem Cell Rev. 2006;2(1):5–10. 
",17142880
"1. Lavezzi AM, Casale V, Oneda R, Weese-Mayer DE, Matturri L. Sudden infant death syndrome and sudden intrauterine unexplained death: correlation between hypoplasia of raphé nuclei and serotonin transporter gene promoter polymorphism. Pediatr Res. 2009 Jul;66(1):22–7. 
",19342987
"1. Ferrante L, Opdal SH, Vege A, Rognum TO. TNF-alpha promoter polymorphisms in sudden infant death. Hum Immunol. 2008 Jun;69(6):368–73. 
",18571009
"1. Semba J, Wakuta M. Chronic effect of nicotine on serotonin transporter mRNA in the raphe nucleus of rats: reversal by co-administration of bupropion. Psychiatry Clin Neurosci. 2008 Aug;62(4):435–41. 
",18778441
"1. Fukuchi M, Tabuchi A, Tsuda M. Transcriptional regulation of neuronal genes and its effect on neural functions: cumulative mRNA expression of PACAP and BDNF genes controlled by calcium and cAMP signals in neurons. J Pharmacol Sci. 2005 Jul;98(3):212–8. 
",16006741
"1. Patel PD, Bochar DA, Turner DL, Meng F, Mueller HM, Pontrello CG. Regulation of tryptophan hydroxylase-2 gene expression by a bipartite RE-1 silencer of transcription/neuron restrictive silencing factor (REST/NRSF) binding motif. J Biol Chem. 2007 Sep 14;282(37):26717–24. 
",17613521
"1. Côté F, Schussler N, Boularand S, Peirotes A, Thévenot E, Mallet J, et al. Involvement of NF-Y and Sp1 in basal and cAMP-stimulated transcriptional activation of the tryptophan hydroxylase (TPH ) gene in the pineal gland. J Neurochem. 2002 May;81(4):673–85. 
",12065627
"1. Pérgola PE, Alper RH. Vasopressin and autonomic mechanisms mediate cardiovascular actions of central serotonin. Am J Physiol. 1991 Jun;260(6 Pt 2):R1188-93. 
",2058745
"1. Cummings KJ, Commons KG, Fan KC, Li A, Nattie EE. Severe spontaneous bradycardia associated with respiratory disruptions in rat pups with fewer brain stem 5-HT neurons. Am J Physiol Regul Integr Comp Physiol. 2009 Jun;296(6):R1783-96. 
",19369586
"1. Brown JW, Sirlin EA, Benoit AM, Hoffman JM, Darnall RA. Activation of 5-HT1A receptors in medullary raphé disrupts sleep and decreases shivering during cooling in the conscious piglet. Am J Physiol Regul Integr Comp Physiol. 2008 Mar;294(3):R884-94. 
",18094064
"1. Teerawatanasuk N, Carr LG. CBF/NF-Y activates transcription of the human tryptophan hydroxylase gene through an inverted CCAAT box. Brain Res Mol Brain Res. 1998 Mar 30;55(1):61–70. 
",9645961
"1. Tester DJ, Dura M, Carturan E, Reiken S, Wronska A, Marks AR, et al. A mechanism for sudden infant death syndrome (SIDS): stress-induced leak via ryanodine receptors. Heart Rhythm. 2007 Jun;4(6):733–9. 
",17556193
"1. Derry C, Benjamin C, Bladin P, le Bars D, Tochon-Danguy H, Berkovic SF, et al. Increased serotonin receptor availability in human sleep: evidence from an [18F]MPPF PET study in narcolepsy. Neuroimage. 2006 Apr 1;30(2):341–8. 
",16275016
"1. Cummings KJ, Pendlebury JD, Sherwood NM, Wilson RJA. Sudden neonatal death in PACAP-deficient mice is associated with reduced respiratory chemoresponse and susceptibility to apnoea. J Physiol. 2004 Feb 15;555(Pt 1):15–26. 
",14608012
"1. Scheuch K, Lautenschlager M, Grohmann M, Stahlberg S, Kirchheiner J, Zill P, et al. Characterization of a functional promoter polymorphism of the human tryptophan hydroxylase 2 gene in serotonergic raphe neurons. Biol Psychiatry. 2007 Dec 1;62(11):1288–94. 
",17568567
"1. Le François B, Czesak M, Steubl D, Albert PR. Transcriptional regulation at a HTR1A polymorphism associated with mental illness. Neuropharmacology. 2008 Nov;55(6):977–85. 
",18639564
"1. Morley ME, Rand CM, Berry-Kravis EM, Zhou L, Fan W, Weese-Mayer DE. Genetic variation in the HTR1A gene and sudden infant death syndrome. Am J Med Genet A. 2008 Apr 1;146A(7):930–3. 
",18286597
"1. Cargnin F, Flora A, Di Lascio S, Battaglioli E, Longhi R, Clementi F, et al. PHOX2B regulates its own expression by a transcriptional auto-regulatory mechanism. J Biol Chem. 2005 Nov 11;280(45):37439–48. 
",16144830
"1. Cargnin F, Flora A, Di Lascio S, Battaglioli E, Longhi R, Clementi F, et al. PHOX2B regulates its own expression by a transcriptional auto-regulatory mechanism. J Biol Chem. 2005 Nov 11;280(45):37439–48. 
",16144830
"1. Gallego J, Dauger S. PHOX2B mutations and ventilatory control. Respir Physiol Neurobiol. 2008 Dec 10;164(1–2):49–54. 
",18675942
"1. Dugast-Darzacq C, Egloff S, Weber MJ. Cooperative dimerization of the POU domain protein Brn-2 on a new motif activates the neuronal promoter of the human aromatic L-amino acid decarboxylase gene. Brain Res Mol Brain Res. 2004 Jan 5;120(2):151–63. 
",14741405
"1. Filonzi L, Magnani C, Lavezzi AM, Rindi G, Parmigiani S, Bevilacqua G, et al. Association of dopamine transporter and monoamine oxidase molecular polymorphisms with sudden infant death syndrome and stillbirth: new insights into the serotonin hypothesis. Neurogenetics. 2009 Feb;10(1):65–72. 
",18810510
"1. Raynal JF, Dugast C, Le Van Thaï A, Weber MJ. Winged helix hepatocyte nuclear factor 3 and POU-domain protein brn-2/N-oct-3 bind overlapping sites on the neuronal promoter of human aromatic L-amino acid decarboxylase gene. Brain Res Mol Brain Res. 1998 May;56(1–2):227–37. 
",9602135
"1. Lemonde S, Rogaeva A, Albert PR. Cell type-dependent recruitment of trichostatin A-sensitive repression of the human 5-HT1A receptor gene. J Neurochem. 2004 Feb;88(4):857–68. 
",14756806
"1. Czesak M, Lemonde S, Peterson EA, Rogaeva A, Albert PR. Cell-specific repressor or enhancer activities of Deaf-1 at a serotonin 1A receptor gene polymorphism. J Neurosci. 2006 Feb 8;26(6):1864–71. 
",16467535
"1. Shang LL, Sanyal S, Pfahnl AE, Jiao Z, Allen J, Liu H, et al. NF-kappaB-dependent transcriptional regulation of the cardiac scn5a sodium channel by angiotensin II. Am J Physiol Cell Physiol. 2008 Jan;294(1):C372-9. 
",18032528
"1. Perskvist N, Skoglund K, Edston E, Bäckström G, Lodestad I, Palm U. TNF-alpha and IL-10 gene polymorphisms versus cardioimmunological responses in sudden infant death. Fetal Pediatr Pathol. 2008;27(3):149–65. 
",18633768
"1. Nishida K, Otsu K, Hori M, Kuzuya T, Tada M. Cloning and characterization of the 5’-upstream regulatory region of the Ca(2+)-release channel gene of cardiac sarcoplasmic reticulum. Eur J Biochem. 1996 Sep 1;240(2):408–15. 
",8841406
"1. Gronli JO, Santucci BA, Leurgans SE, Berry-Kravis EM, Weese-Mayer DE. Congenital central hypoventilation syndrome: PHOX2B genotype determines risk for sudden death. Pediatr Pulmonol. 2008 Jan;43(1):77–86. 
",18041756
"1. Paterson DS, Trachtenberg FL, Thompson EG, Belliveau RA, Beggs AH, Darnall R, et al. Multiple serotonergic brainstem abnormalities in sudden infant death syndrome. JAMA. 2006 Nov 1;296(17):2124–32. 
",17077377
"1. Luo X, Xiao J, Lin H, Lu Y, Yang B, Wang Z. Genomic structure, transcriptional control, and tissue distribution of HERG1 and KCNQ1 genes. Am J Physiol Heart Circ Physiol. 2008 Mar;294(3):H1371-80. 
",18192214
"1. Lin H, Xiao J, Luo X, Wang H, Gao H, Yang B, et al. Overexpression HERG K(+) channel gene mediates cell-growth signals on activation of oncoproteins SP1 and NF-kappaB and inactivation of tumor suppressor Nkx3.1. J Cell Physiol. 2007 Jul;212(1):137–47. 
",17311278
"1. Rand CM, Weese-Mayer DE, Zhou L, Maher BS, Cooper ME, Marazita ML, et al. Sudden infant death syndrome: Case-control frequency differences in paired like homeobox (PHOX) 2B gene. Am J Med Genet A. 2006 Aug 1;140(15):1687–91. 
",16830328
"1. Rand CM, Berry-Kravis EM, Zhou L, Fan W, Weese-Mayer DE. Sudden infant death syndrome: rare mutation in the serotonin system FEV gene. Pediatr Res. 2007 Aug;62(2):180–2. 
",17597646
